HCPCS_Cd,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Assignment_Eff_Dt
C9015,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2018,12/31/2018,01/01/2014
C9022,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,07/01/2014,12/31/2014,01/01/2014
C9023,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2014,12/31/2014,01/01/2014
C9026,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,10/01/2014,12/31/2015,01/01/2014
C9029,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,01/01/2018,12/31/2018,01/01/2014
C9032,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2018,12/31/2018,01/01/2014
C9034,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,10/01/2018,12/31/2018,01/01/2017
C9035,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2019,09/30/2019,01/01/2015
C9036,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2019,09/30/2019,01/01/2015
C9037,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2019,09/30/2019,01/01/2015
C9038,RI019N,R,Treatment,RI,"Injections and Infusions (nononcologic)",019,"Injection - Immunomodulator",N,01/01/2019,09/30/2019,01/01/2015
C9039,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2019,09/30/2019,01/01/2015
C9040,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,04/01/2019,09/30/2019,01/01/2015
C9041,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,04/01/2019,06/30/2020,01/01/2015
C9043,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2019,12/31/2019,01/01/2015
C9044,RI019N,R,Treatment,RI,"Injections and Infusions (nononcologic)",019,"Injection - Immunomodulator",N,04/01/2019,09/30/2019,01/01/2015
C9047,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,07/01/2019,12/31/9999,01/01/2015
C9048,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2019,09/30/2019,01/01/2015
C9050,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,07/01/2019,09/30/2019,01/01/2015
C9051,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2019,09/30/2019,01/01/2017
C9052,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,07/01/2019,09/30/2019,01/01/2015
C9053,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,04/01/2020,06/30/2020,01/01/2016
C9054,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2020,06/30/2020,01/01/2017
C9055,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2020,09/30/2020,01/01/2016
C9056,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2020,06/30/2020,01/01/2016
C9057,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2020,06/30/2020,01/01/2016
C9058,RI006N,R,Treatment,RI,"Injections and Infusions (nononcologic)",006,"Injection - Colony Stimulating Factors",N,11/15/2019,06/30/2020,01/01/2016
C9059,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2020,09/30/2020,01/01/2016
C9061,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,07/01/2020,09/30/2020,01/01/2016
C9062,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,10/01/2020,12/31/2020,01/01/2016
C9063,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,07/01/2020,09/30/2020,01/01/2016
C9066,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2020,12/31/2020,01/01/2016
C9072,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/2021,03/31/2021,01/01/2017
C9074,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2021,06/30/2021,01/01/2017
C9075,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2021,09/30/2021,01/01/2017
C9077,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2021,09/30/2021,01/01/2017
C9078,RI016N,R,Treatment,RI,"Injections and Infusions (nononcologic)",016,"Erythropoiesis - Stimulating Agent",N,07/01/2021,09/30/2021,01/01/2017
C9079,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,07/01/2021,09/30/2021,01/01/2017
C9085,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,03/31/2022,01/01/2017
C9086,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,03/31/2022,01/01/2017
C9087,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,03/31/2022,01/01/2017
C9088,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,12/31/9999,01/01/2017
C9089,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,12/31/9999,01/01/2017
C9090,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2022,06/30/2022,01/01/2017
C9091,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2022,06/30/2022,01/01/2017
C9092,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2022,06/30/2022,01/01/2017
C9093,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2022,06/30/2022,01/01/2017
C9094,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2022,09/30/2022,01/01/2017
C9095,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2022,09/30/2022,01/01/2017
C9096,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2022,09/30/2022,01/01/2017
C9097,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2022,09/30/2022,01/01/2017
C9098,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2022,09/30/2022,01/01/2017
C9101,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2022,12/31/9999,01/01/2017
C9113,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2002,12/31/9999,01/01/2014
C9121,RI030N,R,Treatment,RI,"Injections and Infusions (nononcologic)",030,"Injection - Anticoagulant",N,01/01/2003,12/31/2016,01/01/2014
C9132,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2013,06/30/2021,01/01/2014
C9135,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2014,12/31/2014,01/01/2014
C9136,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,01/01/2015,03/31/2015,01/01/2015
C9136,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2015,03/31/2015,01/01/2014
C9137,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,04/01/2016,12/31/2016,01/01/2015
C9137,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2016,12/31/2016,01/01/2014
C9138,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,04/01/2016,12/31/2016,01/01/2015
C9138,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2016,12/31/2016,01/01/2014
C9139,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,10/01/2016,12/31/2016,01/01/2015
C9139,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2016,12/31/2016,01/01/2014
C9140,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,01/01/2017,12/31/2017,01/01/2017
C9141,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,04/01/2019,06/30/2019,01/01/2017
C9142,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2022,12/31/2022,01/01/2017
C9248,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2009,12/31/9999,01/01/2014
C9254,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2010,12/31/9999,01/01/2014
C9275,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2011,12/31/2018,01/01/2014
C9290,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2012,12/31/9999,01/01/2014
C9441,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2014,06/30/2014,01/01/2014
C9443,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2015,12/31/2015,01/01/2014
C9444,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2015,12/31/2015,01/01/2014
C9445,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2015,12/31/2015,01/01/2014
C9446,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2015,12/31/2015,01/01/2014
C9447,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2015,09/30/2019,01/01/2017
C9450,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2015,12/31/2015,01/01/2014
C9451,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2015,12/31/2015,01/01/2015
C9452,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2015,12/31/2015,01/01/2014
C9454,RI022N,R,Treatment,RI,"Injections and Infusions (nononcologic)",022,"Injection - Somatostatin",N,07/01/2015,12/31/2015,01/01/2014
C9456,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2015,12/31/2015,01/01/2014
C9460,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2016,12/31/9999,01/01/2014
C9462,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2018,12/31/9999,01/01/2014
C9465,RI025N,R,Treatment,RI,"Injections and Infusions (nononcologic)",025,"Injection - Hyaluronan or Derivative",N,04/01/2018,12/31/2018,01/01/2014
C9466,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,04/01/2018,12/31/2018,01/01/2014
C9468,RI018N,R,Treatment,RI,"Injections and Infusions (nononcologic)",018,"Injection - Clotting Factors",N,04/01/2018,12/31/2018,01/01/2017
C9469,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2018,06/30/2018,01/01/2017
C9469,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2018,06/30/2018,01/01/2014
C9470,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2016,12/31/2016,01/01/2014
C9471,RI025N,R,Treatment,RI,"Injections and Infusions (nononcologic)",025,"Injection - Hyaluronan or Derivative",N,04/01/2016,12/31/2016,01/01/2014
C9473,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,04/01/2016,12/31/2016,01/01/2014
C9478,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,07/01/2016,12/31/2016,01/01/2014
C9479,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2016,12/31/2016,01/01/2014
C9481,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2016,12/31/2016,01/01/2014
C9482,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2016,12/31/9999,01/01/2014
C9484,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2017,12/31/2017,01/01/2014
C9487,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,04/01/2017,06/30/2017,01/01/2014
C9488,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2017,12/31/9999,01/01/2014
C9489,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2017,12/31/2017,01/01/2014
C9490,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,07/01/2017,12/31/2017,01/01/2014
C9493,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2017,12/31/2018,01/01/2014
C9494,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,10/01/2017,12/31/2017,01/01/2014
C9743,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2015,06/30/2016,01/01/2014
G0008,RI023N,R,Treatment,RI,"Injections and Infusions (nononcologic)",023,"Vaccine Admin - Flu, Pneum, and Hep B",N,01/01/1994,12/31/9999,01/01/2014
G0009,RI023N,R,Treatment,RI,"Injections and Infusions (nononcologic)",023,"Vaccine Admin - Flu, Pneum, and Hep B",N,01/01/1994,12/31/9999,01/01/2014
G0010,RI023N,R,Treatment,RI,"Injections and Infusions (nononcologic)",023,"Vaccine Admin - Flu, Pneum, and Hep B",N,01/01/1994,12/31/9999,01/01/2014
G0068,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2019,12/31/9999,01/01/2015
G0069,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2019,12/31/9999,01/01/2015
G0070,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2019,12/31/9999,01/01/2015
J0120,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1986,12/31/9999,01/01/2014
J0121,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2019,12/31/9999,01/01/2015
J0122,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2019,12/31/9999,01/01/2015
J0129,RI019N,R,Treatment,RI,"Injections and Infusions (nononcologic)",019,"Injection - Immunomodulator",N,01/01/2007,12/31/9999,01/01/2014
J0130,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,01/01/1999,12/31/9999,01/01/2014
J0131,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2012,12/31/9999,01/01/2014
J0132,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2006,12/31/9999,01/01/2014
J0133,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2006,12/31/9999,01/01/2014
J0135,RI024N,R,Treatment,RI,"Injections and Infusions (nononcologic)",024,"Injection - Tumor Necrosis Factor Blocker",N,01/01/2005,12/31/9999,01/01/2014
J0150,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1994,12/31/2014,01/01/2014
J0151,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2014,12/31/2014,01/01/2014
J0153,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2015,12/31/9999,01/01/2014
J0171,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2011,12/31/9999,01/01/2014
J0172,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,12/31/9999,01/01/2017
J0178,RI005N,R,Treatment,RI,"Injections and Infusions (nononcologic)",005,"Injection - Macular Degeneration",N,01/01/2013,12/31/9999,01/01/2014
J0179,RI005N,R,Treatment,RI,"Injections and Infusions (nononcologic)",005,"Injection - Macular Degeneration",N,01/01/2020,12/31/9999,01/01/2016
J0180,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,01/01/2005,12/31/9999,01/01/2014
J0185,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2019,12/31/9999,01/01/2015
J0190,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1982,12/31/9999,01/01/2014
J0200,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2000,12/31/9999,01/01/2015
J0210,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/9999,01/01/2014
J0215,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2004,12/31/9999,01/01/2014
J0219,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2022,12/31/9999,01/01/2017
J0220,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,01/01/2008,12/31/9999,01/01/2014
J0221,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,01/01/2012,12/31/9999,01/01/2014
J0222,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2019,12/31/9999,01/01/2015
J0223,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2020,12/31/9999,01/01/2016
J0224,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2021,12/31/9999,01/01/2017
J0248,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,12/23/2021,12/31/9999,01/01/2017
J0256,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1989,12/31/9999,01/01/2014
J0257,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2012,12/31/9999,01/01/2014
J0270,RI026N,R,Treatment,RI,"Injections and Infusions (nononcologic)",026,"Injection - Vasodilator",N,01/01/1997,12/31/9999,01/01/2014
J0278,RI026N,R,Treatment,RI,"Injections and Infusions (nononcologic)",026,"Injection - Vasodilator",N,01/01/2006,12/31/9999,01/01/2014
J0280,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/9999,01/01/2014
J0282,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2001,12/31/9999,01/01/2014
J0285,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1999,12/31/9999,01/01/2014
J0287,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2003,12/31/9999,01/01/2014
J0288,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2003,12/31/9999,01/01/2014
J0289,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2003,12/31/9999,01/01/2014
J0290,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/9999,01/01/2014
J0291,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/01/2019,12/31/9999,01/01/2015
J0295,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1995,12/31/9999,01/01/2014
J0300,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1982,12/31/9999,01/01/2014
J0330,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1986,12/31/9999,01/01/2014
J0348,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2007,12/31/9999,01/01/2014
J0360,RI026N,R,Treatment,RI,"Injections and Infusions (nononcologic)",026,"Injection - Vasodilator",N,01/01/1986,12/31/9999,01/01/2014
J0364,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2007,12/31/9999,01/01/2014
J0365,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2006,12/31/9999,01/01/2015
J0380,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1982,12/31/9999,01/01/2015
J0390,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1986,12/31/9999,01/01/2014
J0400,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2008,12/31/9999,01/01/2014
J0401,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2014,12/31/9999,01/01/2014
J0456,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2000,12/31/9999,01/01/2014
J0461,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2010,12/31/9999,01/01/2014
J0470,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1982,12/31/9999,01/01/2014
J0475,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1994,12/31/9999,01/01/2014
J0476,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1999,12/31/9999,01/01/2014
J0480,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2006,12/31/9999,01/01/2014
J0485,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2013,12/31/9999,01/01/2014
J0490,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,01/01/2012,12/31/9999,01/01/2014
J0491,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,04/01/2022,12/31/9999,01/01/2017
J0500,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1986,12/31/9999,01/01/2014
J0515,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1982,12/31/9999,01/01/2014
J0517,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,01/01/2019,12/31/9999,01/01/2015
J0520,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/9999,01/01/2015
J0558,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2011,12/31/9999,01/01/2014
J0561,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2011,12/31/9999,01/01/2014
J0565,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,01/01/2018,12/31/9999,01/01/2014
J0567,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,01/01/2019,12/31/9999,01/01/2017
J0571,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2015,12/31/9999,01/01/2014
J0583,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2004,12/31/9999,01/01/2014
J0584,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2019,12/31/9999,01/01/2015
J0585,RI030N,R,Treatment,RI,"Injections and Infusions (nononcologic)",030,"Injection - Anticoagulant",N,01/01/1991,12/31/9999,01/01/2014
J0586,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2010,12/31/9999,01/01/2014
J0587,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2002,12/31/9999,01/01/2014
J0588,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2012,12/31/9999,01/01/2014
J0592,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2003,12/31/9999,01/01/2014
J0593,RI004N,R,Treatment,RI,"Injections and Infusions (nononcologic)",004,"Injection - Monoclonal Antibodies",N,10/01/2019,12/31/9999,01/01/2017
J0595,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2004,12/31/9999,01/01/2014
J0596,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2016,12/31/9999,01/01/2014
J0597,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2011,12/31/9999,01/01/2014
